case_id,title,source_group,source_file,source_line,owner_stage,phase,release_gate,requirement_ids,verification_kind,execution_status,notes,evidence_refs
AC-001,Пустая независимая установка,main_spec,../spec/acceptance-cases.csv,,P1-02,1,P1-09;P2-18,PROD-003;RUN-001;PKG-001;QUAL-002;ARCH-001,runtime_integration,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-002,Controller не обращается к ИИ,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,DOM-010;WF-002;CTRL-001;RUN-001;QUAL-003,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-003,Проверка предмета до массовой работы,main_spec,../spec/acceptance-cases.csv,,P1-08,1,P1-09;P2-18,PROD-001;PROD-008;UX-002,ux,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-operations.md
AC-004,Изменение цели не продолжает старые intents,main_spec,../spec/acceptance-cases.csv,,P2-15,2,P2-18,PROD-009;CTRL-002;CTX-013;PROD-010,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-005,План модели остаётся предложением,main_spec,../spec/acceptance-cases.csv,,P2-13,2,P2-18,PROD-010;DOM-024;WF-022;API-024,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-006,Роль берётся из удостоверенной области,main_spec,../spec/acceptance-cases.csv,,P2-06,2,P2-18,PROD-006;DOM-001;CTRL-004;ARCH-011,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-007,Assisted без host не обещает wakeup,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,PROD-011;RUN-002;CTRL-013;API-022,runtime_integration,specified_not_executed,Полный Given использует waiting timer; host adapter P2-09 недостаточен без wait/timer P2-12.,
AC-008,Managed isolated требует реального runner,main_spec,../spec/acceptance-cases.csv,,P2-09,2,P2-18,ARCH-006;QUAL-002;RUN-002;SEC-007,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-009,Отказ и молчание человека не равны согласию,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,DOM-017;WF-016;CTX-013;PROD-011,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-010,Свой маленький workflow без чужого lifecycle,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PROD-002;PROD-020;PKG-011;ARCH-008;QUAL-014,runtime_integration,specified_not_executed,"Полный When требует регистрации пакета через public protocol, не только локального import F1.",
AC-011,Модель выражает разные классы сценариев,main_spec,../spec/acceptance-cases.csv,,P2-17,2,P2-18,PROD-007;QUAL-014;ARCH-001,design_review,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-012,Логические границы не превращены в обязательные сервисы,main_spec,../spec/acceptance-cases.csv,,P1-01,1,P1-09;P2-18,PROD-004;PROD-005;RUN-003;ARCH-002;ARCH-007,design_review,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-013,SourceSnapshot не привязывает core к tracker,main_spec,../spec/acceptance-cases.csv,,P2-05,2,P2-18,WF-007;WF-019;DATA-002;DOM-001,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-014,Импорт artifact до создания Run,main_spec,../spec/acceptance-cases.csv,,P1-04,1,P1-09;P2-18,DOM-002;DOM-007;DATA-003;API-005;CTRL-014,runtime_integration,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-015,Durable receipt входящего batch не равен применению,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,DATA-002;DOM-025;API-014,fault_injection,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-016,Unsupported capability не наследует чужую qualification,main_spec,../spec/acceptance-cases.csv,,P2-09,2,P2-18,PROD-018;PKG-013;API-025;ARCH-006,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-017,Identity пакета не допускает замены bytes,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-003;DOM-003;API-004,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-018,Архив пакета не выходит за свой root,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-004;SEC-007;QUAL-007,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-019,Lock включает транзитивные инструкции и schemas,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-005;DOM-004;DATA-001,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-020,Отсутствующие pinned bytes не заменяются похожей версией,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,DATA-001;PKG-009;DOM-004,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-021,Установка атомарна и не запускает hooks,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-006;SEC-006;API-021,fault_injection,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-022,Offline доверие не назначается ключом внутри пакета,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-007;ARCH-015;PKG-006,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-023,Capabilities пакета не являются Grant,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-008;SEC-004;CTRL-007,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-024,Config precedence не перезаписывает ограничения,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-012;CTRL-002,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-025,Обновление установлено рядом с активным lock,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-009;PROD-016;ARCH-012,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-026,Uninstall сохраняет pinned execution и evidence,main_spec,../spec/acceptance-cases.csv,,P2-14,2,P2-18,PKG-010;PROD-019;API-021,runtime_integration,specified_not_executed,Проверяются pins активной compensation; пакетный механизм P2-07 дополняется реальной compensation P2-14.,
AC-027,Quarantine отменяет trusted reuse cached pass,main_spec,../spec/acceptance-cases.csv,,P2-13,2,P2-18,PKG-010;DOM-009;SEC-006;QUAL-007,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-028,Минимальный свой step имеет public contract,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-011;PROD-020;ARCH-008,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-029,Удаление AI Factory не ломает независимый сценарий,main_spec,../spec/acceptance-cases.csv,,P2-17,2,P2-18,PKG-014;PROD-002;ARCH-016,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-030,Qualification относится к конкретной операции,main_spec,../spec/acceptance-cases.csv,,P2-09,2,P2-18,PKG-013;RUN-011;ARCH-009,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-031,Каталог пакета не считает самоаттестацию испытанием,main_spec,../spec/acceptance-cases.csv,,P2-07,2,P2-18,PKG-015;PROD-016;QUAL-012,design_review,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-032,"Command, worker и check сохраняют разные контракты",main_spec,../spec/acceptance-cases.csv,,P1-06,1,P1-09;P2-18,WF-001;WF-008;DOM-016;API-006,runtime_integration,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-033,Ports требуют точной schema либо converter,main_spec,../spec/acceptance-cases.csv,,P1-04,1,P1-09;P2-18,WF-004;DOM-006;API-007,unit,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-034,Binding не выбирает последний похожий artifact,main_spec,../spec/acceptance-cases.csv,,P2-10,2,P2-18,WF-005;DOM-006;API-008;DATA-003,unit,specified_not_executed,Полный Given содержит producers разных ветвей; последовательный A/B отдельно покрывается WF-AC-01.,
AC-035,Обязательный input существует на каждом пути,main_spec,../spec/acceptance-cases.csv,,P2-02,2,P2-18,WF-006;WF-020;API-009,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-036,Skip и no_work не создают отсутствующие outputs,main_spec,../spec/acceptance-cases.csv,,P2-13,2,P2-18,DOM-017;CTRL-008;API-007;WF-006,runtime_integration,specified_not_executed,Полный Then включает compatible trusted reuse; ранняя проверка skip/no_work не закрывает весь case.,
AC-037,Трёхзначная логика отличает отсутствие и null,main_spec,../spec/acceptance-cases.csv,,P2-02,2,P2-18,WF-009;DOM-022;API-010,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-038,Exclusive choice не угадывает единственную ветвь,main_spec,../spec/acceptance-cases.csv,,P2-02,2,P2-18,WF-010;DOM-022;API-010,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-039,First_match использует pinned порядок,main_spec,../spec/acceptance-cases.csv,,P2-02,2,P2-18,WF-010;API-010;CTRL-017,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-040,Condition не является исполняемым скриптом,main_spec,../spec/acceptance-cases.csv,,P2-02,2,P2-18,WF-009;API-002;DOM-022;QUAL-007,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-041,Структура definition не заменяет semantic validation,main_spec,../spec/acceptance-cases.csv,,P1-04,1,P1-09;P2-18,WF-003;WF-020;API-003;API-009,unit,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-042,Parallel соблюдает глобальные слоты и справедливость,main_spec,../spec/acceptance-cases.csv,,P2-10,2,P2-18,WF-011;RUN-006;PROD-012;API-011,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-043,Quorum не публикует aggregate до settlement remainder,main_spec,../spec/acceptance-cases.csv,,P2-10,2,P2-18,WF-012;API-011;RUN-006;RUN-017,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-044,Satisfied join не равен успешному verdict,main_spec,../spec/acceptance-cases.csv,,P2-10,2,P2-18,WF-012;WF-021;API-011;CTRL-019,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-045,Map проверяет всю коллекцию до первого child,main_spec,../spec/acceptance-cases.csv,,P2-11,2,P2-18,WF-023;API-012;DOM-023;RUN-006,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-046,Изменение source collection не расширяет активный map,main_spec,../spec/acceptance-cases.csv,,P2-11,2,P2-18,WF-023;API-012;DATA-003;RUN-006,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-047,Пустой map имеет явный исход,main_spec,../spec/acceptance-cases.csv,,P2-11,2,P2-18,WF-023;API-012;WF-021,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-048,Общий budget ограничивает пустые и вложенные expansions,main_spec,../spec/acceptance-cases.csv,,P2-11,2,P2-18,WF-015;DOM-023;RUN-006;RUN-024;API-013,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-049,Repeat переносит явное состояние и сохраняет причины rework,main_spec,../spec/acceptance-cases.csv,,P2-13,2,P2-18,WF-013;API-013;RUN-005,runtime_integration,specified_not_executed,Полный сценарий выполняет также technical ActionDelivery retry; сам repeat проверяется ранее через WF-AC-09 и отдельные tests.,
AC-050,Call graph ацикличен и экспортирует объявленные outcomes,main_spec,../spec/acceptance-cases.csv,,P2-03,2,P2-18,WF-014;API-009;DOM-023;WF-020;DOM-003,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-051,Event и timeout разрешают wait только один раз,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,WF-016;API-014;DOM-025;RUN-022,fault_injection,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-052,Callback раньше wait сохраняется через WaitRegistration,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,API-014;WF-016;DATA-002;DOM-025,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-053,Невыбранная и истёкшая wait registration не запускает работу,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,API-014;DATA-002;WF-016,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-054,Schedule slot не дублируется при DST и restart,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,DOM-025;API-014;QUAL-014,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-055,Control stage может быть producer без фиктивного worker,main_spec,../spec/acceptance-cases.csv,,P2-12,2,P2-18,DOM-007;API-008;WF-005;CTRL-014,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-056,Framing отвергает неоднозначный и чрезмерный JSON,main_spec,../spec/acceptance-cases.csv,,P1-04,1,P1-09;P2-18,DOM-005;API-002;API-003;QUAL-007,security,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-057,ContextManifest фиксирует точный переданный набор,main_spec,../spec/acceptance-cases.csv,,P2-05,2,P2-18,CTX-001;DOM-012;RUN-008,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-058,Renderer не добавляет скрытое поручение,main_spec,../spec/acceptance-cases.csv,,P2-05,2,P2-18,CTX-003;RUN-009;DOM-012,unit,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-059,Prompt injection не повышает доверие через summary,main_spec,../spec/acceptance-cases.csv,,P2-09,2,P2-18,CTX-002;SEC-008;QUAL-007,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-060,Новый worker ID не доказывает fresh context,main_spec,../spec/acceptance-cases.csv,,P2-09,2,P2-18,CTX-004;SEC-008;RUN-009,runtime_integration,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-061,Данные command передаются без shell expansion,main_spec,../spec/acceptance-cases.csv,,P1-05,1,P1-09;P2-18,CTX-005;RUN-016;SEC-005,security,passed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
AC-062,Context reference не выдаёт право публикации,main_spec,../spec/acceptance-cases.csv,,P2-09,2,P2-18,CTX-006;SEC-004;CTRL-005,security,specified_not_executed,Полный исходный Given/When/Then; ранняя частичная проверка не закрывает этот case.,
AC-063,Подмена live файла между preview и dispatch,main_spec,../spec/acceptance-cases.csv,,P1-06,1,P1-09;P2-18,CTX-007;DATA-003;RUN-016,fault_injection,passed,Помимо materialization проверяется intake stale result; полный case после result handler P1-06.,../evidence/f1-rc.1.json;../evidence/acceptance-core.md
