case_id,title,source_group,source_file,source_line,owner_stage,phase,release_gate,requirement_ids,verification_kind,execution_status,notes,evidence_refs
OBS-AC-01,Identity и control stage без worker,state_telemetry_supplement,state-and-telemetry.md,683,P1-06,1,P1-09;P2-18,OBS-001;OBS-003,runtime_integration,passed,"Given: Один definition использован дважды и достигнут finish. When: Построить timing tree. Then: Две разные activation/step identities; finish имеет elapsed, executor time неприменим, фиктивной Attempt нет.",../evidence/f1-rc.1.json;../evidence/acceptance-core.md
OBS-AC-02,"Очередь, работа и settlement",state_telemetry_supplement,state-and-telemetry.md,684,P1-06,1,P1-09;P2-18,OBS-001;OBS-003,runtime_integration,passed,"Given: В тестовых сопоставимых часах queue 5 s, executor occupancy 8 s, затем settlement 2 s. When: Принять terminal transition. Then: Elapsed 15 s, executor 8 s, post-execution settlement 2 s; boundaries ссылаются на реальные события, не текст worker.",../evidence/f1-rc.1.json;../evidence/acceptance-core.md
OBS-AC-03,Ранний результат не заканчивает время,state_telemetry_supplement,state-and-telemetry.md,685,P1-06,1,P1-09;P2-18,OBS-001;OBS-003;OBS-004,runtime_integration,passed,"Given: Процесс выдал валидный result и продолжает жить. When: Прочитать отчёт до и после подтверждённого выхода. Then: Executor interval открыт, post-execution settlement ещё не начался; result-to-acceptance показан отдельно и может перекрываться с исполнением.",../evidence/f1-rc.1.json;../evidence/acceptance-core.md
OBS-AC-04,UTC rollback и порядок событий,state_telemetry_supplement,state-and-telemetry.md,686,P1-07,1,P1-09;P2-18,OBS-002;OBS-004,runtime_integration,passed,"Given: Монотонные часы идут, UTC скачет назад. When: Записать observations и replay. Then: Нет отрицательной duration или перестановки событий; качество календарного elapsed честно снижено, deadline не продлён.",../evidence/f1-rc.1.json;../evidence/acceptance-operations.md
OBS-AC-05,Crash и неизвестный интервал,state_telemetry_supplement,state-and-telemetry.md,687,P1-07,1,P1-09;P2-18,OBS-002;OBS-004,runtime_integration,passed,"Given: Driver упал между start и подтверждением выхода. When: Перезапустить и прочитать timing. Then: Старые monotonic ticks не продолжаются; gap виден, неизвестный exit не заменён нулём/временем рестарта.",../evidence/f1-rc.1.json;../evidence/acceptance-operations.md
OBS-AC-06,Suspend и восстановленные timestamps,state_telemetry_supplement,state-and-telemetry.md,688,P1-07,1,P1-09;P2-18,OBS-002,runtime_integration,passed,Given: Clock profile с исключающим sleep monotonic и сериализованный time.Time. When: Возобновить машину и восстановить state. Then: Process-clock duration не выдана за полный календарный elapsed; сохранённый UTC не объявлен monotonic.,../evidence/f1-rc.1.json;../evidence/acceptance-operations.md;../evidence/obs-ac-06-native-suspend-resume-20260831.json;../evidence/obs-ac-06-native-suspend-resume-20260831.md
OBS-AC-07,Параллельное время не суммируется как elapsed,state_telemetry_supplement,state-and-telemetry.md,689,P2-10,2,P2-18,OBS-001;OBS-003;OBS-005,runtime_integration,specified_not_executed,"Given: Две сопоставимые Attempts работают одновременно по 10 s. When: Построить отчёт parent и обеих branches. Then: Sum attempt time 20 s, active union 10 s; родитель не дублирует интервалы через hierarchy.",
OBS-AC-08,Retry и задержка между попытками,state_telemetry_supplement,state-and-telemetry.md,690,P2-13,2,P2-18,OBS-003;OBS-004;REA-006,runtime_integration,specified_not_executed,"Given: Attempts по 3 s и 7 s разделены backoff 2 s; start guard изменяется перед retry. When: Допустить retry только после новой положительной проверки guard. Then: Новые Attempt/Admission без лишней activation; executor sum 10 s, backoff 2 s; прежнее true не обходит текущие stops.",
OBS-AC-09,Поздний receipt уточняет отчёт,state_telemetry_supplement,state-and-telemetry.md,691,P2-13,2,P2-18,OBS-001;OBS-004;OBS-010,runtime_integration,specified_not_executed,"Given: Remote exit ранее был неизвестен, пришло доверенное доказательство. When: Выполнить reconcile и повторно получить timing. Then: Новый report cut/provenance; исходные observation/decision timestamps не переписаны.",
OBS-AC-10,Read-only timing запрос,state_telemetry_supplement,state-and-telemetry.md,692,P1-08,1,P1-09;P2-18,OBS-005;OBS-007;OBS-008;OBS-009,runtime_integration,passed,"Given: Run ждёт, внешний источник недоступен. When: Выполнить status/timing/events. Then: Нет refresh, новых admissions, бизнес-событий или изменения leases; missing duration не ноль.",../evidence/f1-rc.1.json;../evidence/acceptance-operations.md
